round_index,round_name,image_file,question_index,question_text,opt_A,opt_B,opt_C,opt_D,correct_answer,round_explanation
0,"THỰC TIỄN 1: BẢN LĨNH LỊCH SỬ",round1-dien-bien-phu.jpg,0,"Trong lịch sử kháng chiến chống thực dân Pháp (1945 - 1954), chiến dịch nào được ghi nhận là đỉnh cao thắng lợi, trực tiếp dẫn đến việc ký kết Hiệp định Giơ-ne-vơ?","Chiến dịch Biên giới Thu Đông","Chiến dịch Tây Bắc","Chiến dịch Điện Biên Phủ","Chiến dịch Thượng Lào",C,"Bức ảnh mô tả trận chiến ĐIỆN BIÊN PHỦ lừng lẫy năm châu. Sức mạnh của lòng yêu nước và tinh thần đại đoàn kết đã giúp một dân tộc có nền kinh tế nông nghiệp lạc hậu đánh bại một thế lực phương Tây hiện đại. Điều này minh chứng: Ý thức xã hội có tính độc lập tương đối và có sự tác động trở lại mạnh mẽ, chuyển hóa thành sức mạnh vật chất khổng lồ để cải tạo Tồn tại xã hội."
0,"THỰC TIỄN 1: BẢN LĨNH LỊCH SỬ",round1-dien-bien-phu.jpg,1,"Xét dưới góc độ Triết học Mác - Lênin, tinh thần yêu nước, ý chí quyết chiến quyết thắng và lòng tự hào dân tộc của quân và dân ta trong cuộc chiến này thuộc về phạm trù nào sau đây?","Tồn tại xã hội","Cơ sở hạ tầng","Ý thức xã hội","Lực lượng sản xuất",C,"Bức ảnh mô tả trận chiến ĐIỆN BIÊN PHỦ lừng lẫy năm châu. Sức mạnh của lòng yêu nước và tinh thần đại đoàn kết đã giúp một dân tộc có nền kinh tế nông nghiệp lạc hậu đánh bại một thế lực phương Tây hiện đại. Điều này minh chứng: Ý thức xã hội có tính độc lập tương đối và có sự tác động trở lại mạnh mẽ, chuyển hóa thành sức mạnh vật chất khổng lồ để cải tạo Tồn tại xã hội."
0,"THỰC TIỄN 1: BẢN LĨNH LỊCH SỬ",round1-dien-bien-phu.jpg,2,"Để bảo đảm hậu cần cho chiến trường trọng điểm này, hàng vạn dân công hỏa tuyến đã đồng lòng sử dụng phương tiện thô sơ nào dưới đây để vận chuyển hơn 2 vạn tấn lương thực?","Xe ba gác","Xe thồ ngựa kéo","Xe đạp thồ","Xe cơ giới hoán cải",C,"Bức ảnh mô tả trận chiến ĐIỆN BIÊN PHỦ lừng lẫy năm châu. Sức mạnh của lòng yêu nước và tinh thần đại đoàn kết đã giúp một dân tộc có nền kinh tế nông nghiệp lạc hậu đánh bại một thế lực phương Tây hiện đại. Điều này minh chứng: Ý thức xã hội có tính độc lập tương đối và có sự tác động trở lại mạnh mẽ, chuyển hóa thành sức mạnh vật chất khổng lồ để cải tạo Tồn tại xã hội."
0,"THỰC TIỄN 1: BẢN LĨNH LỊCH SỬ",round1-dien-bien-phu.jpg,3,"Sức mạnh của lòng yêu nước giúp nền nông nghiệp lạc hậu đánh bại thế lực có tiềm lực quân sự, kinh tế hiện đại. Hiện tượng này chứng minh cho luận điểm triết học nào?","Ý thức xã hội luôn luôn lạc hậu hơn tồn tại xã hội.","Tồn tại xã hội hoàn toàn độc lập với ý thức xã hội.","Tính độc lập tương đối và sự tác động trở lại mạnh mẽ của YTXH đối với TTXH.","Ý thức xã hội không có khả năng chuyển hóa thành sức mạnh vật chất.",C,"Bức ảnh mô tả trận chiến ĐIỆN BIÊN PHỦ lừng lẫy năm châu. Sức mạnh của lòng yêu nước và tinh thần đại đoàn kết đã giúp một dân tộc có nền kinh tế nông nghiệp lạc hậu đánh bại một thế lực phương Tây hiện đại. Điều này minh chứng: Ý thức xã hội có tính độc lập tương đối và có sự tác động trở lại mạnh mẽ, chuyển hóa thành sức mạnh vật chất khổng lồ để cải tạo Tồn tại xã hội."
0,"THỰC TIỄN 1: BẢN LĨNH LỊCH SỬ",round1-dien-bien-phu.jpg,4,"Lá cờ 'Quyết chiến - Quyết thắng' tung bay trên nóc hầm chỉ huy của viên tướng Pháp nào, đánh dấu sự sụp đổ hoàn toàn của tập đoàn cứ điểm này?","Tướng Navarre (Na-va)","Tướng De Castries (Đờ Cát-tơ-ri)","Tướng Cogny (Cô-nhi)","Tướng Salan (Sa-lăng)",B,"Bức ảnh mô tả trận chiến ĐIỆN BIÊN PHỦ lừng lẫy năm châu. Sức mạnh của lòng yêu nước và tinh thần đại đoàn kết đã giúp một dân tộc có nền kinh tế nông nghiệp lạc hậu đánh bại một thế lực phương Tây hiện đại. Điều này minh chứng: Ý thức xã hội có tính độc lập tương đối và có sự tác động trở lại mạnh mẽ, chuyển hóa thành sức mạnh vật chất khổng lồ để cải tạo Tồn tại xã hội."
1,"THỰC TIỄN 2: SỨC MẠNH THỜI BÌNH",round2-cuu-tro-lu.jpg,0,"Nước ta có vị trí địa lý đặc thù, thường xuyên đối mặt với điều kiện thời tiết khắc nghiệt. Theo triết học Mác - Lênin, yếu tố này thuộc về phạm trù nào?","Quan hệ sản xuất","Điều kiện tự nhiên (Tồn tại xã hội)","Kiến trúc thượng tầng","Lực lượng sản xuất",B,"Đứng trước điều kiện tự nhiên khắc nghiệt (Tồn tại xã hội), người Việt đã hình thành Ý thức xã hội tất yếu: Lòng yêu nước và tinh thần 'Lá lành đùm lá rách'. Sự quyên góp, hỗ trợ nhau trong bão lũ chính là minh chứng rõ nét cho việc Ý thức xã hội biến thành sức mạnh vật chất to lớn để tác động ngược lại, tái thiết Tồn tại xã hội."
1,"THỰC TIỄN 2: SỨC MẠNH THỜI BÌNH",round2-cuu-tro-lu.jpg,1,"Từ hoàn cảnh sống nhiều gian khó đó, người Việt đã sớm hình thành truyền thống đùm bọc lẫn nhau. Theo chủ nghĩa duy vật lịch sử, sự hình thành này minh chứng cho quy luật nào?","Tồn tại xã hội quyết định ý thức xã hội","Ý thức xã hội quyết định tồn tại xã hội","Ý thức xã hội luôn vượt trước tồn tại xã hội","Tồn tại xã hội lệ thuộc vào ý thức xã hội",A,"Đứng trước điều kiện tự nhiên khắc nghiệt (Tồn tại xã hội), người Việt đã hình thành Ý thức xã hội tất yếu: Lòng yêu nước và tinh thần 'Lá lành đùm lá rách'. Sự quyên góp, hỗ trợ nhau trong bão lũ chính là minh chứng rõ nét cho việc Ý thức xã hội biến thành sức mạnh vật chất to lớn để tác động ngược lại, tái thiết Tồn tại xã hội."
1,"THỰC TIỄN 2: SỨC MẠNH THỜI BÌNH",round2-cuu-tro-lu.jpg,2,"Trải qua ngàn năm, truyền thống 'thương người như thể thương thân' vẫn luôn được các thế hệ người Việt gìn giữ. Điều này thể hiện đặc tính nào của Ý thức xã hội?","Tính vượt trước","Tính kế thừa","Tính giai cấp","Tính bảo thủ",B,"Đứng trước điều kiện tự nhiên khắc nghiệt (Tồn tại xã hội), người Việt đã hình thành Ý thức xã hội tất yếu: Lòng yêu nước và tinh thần 'Lá lành đùm lá rách'. Sự quyên góp, hỗ trợ nhau trong bão lũ chính là minh chứng rõ nét cho việc Ý thức xã hội biến thành sức mạnh vật chất to lớn để tác động ngược lại, tái thiết Tồn tại xã hội."
1,"THỰC TIỄN 2: SỨC MẠNH THỜI BÌNH",round2-cuu-tro-lu.jpg,3,"Khi cộng đồng gặp biến cố, tình cảm trừu tượng lập tức biến thành những hành động thiết thực đóng góp sức người, sức của để tái thiết cuộc sống. Đây là biểu hiện của nguyên lý nào?","YTXH luôn tụt hậu hơn TTXH","YTXH sinh ra TTXH","Sự tác động trở lại của YTXH đối với TTXH","TTXH không thể thay đổi",C,"Đứng trước điều kiện tự nhiên khắc nghiệt (Tồn tại xã hội), người Việt đã hình thành Ý thức xã hội tất yếu: Lòng yêu nước và tinh thần 'Lá lành đùm lá rách'. Sự quyên góp, hỗ trợ nhau trong bão lũ chính là minh chứng rõ nét cho việc Ý thức xã hội biến thành sức mạnh vật chất to lớn để tác động ngược lại, tái thiết Tồn tại xã hội."
1,"THỰC TIỄN 2: SỨC MẠNH THỜI BÌNH",round2-cuu-tro-lu.jpg,4,"Từ mối quan hệ biện chứng trên, có thể kết luận tinh thần đoàn kết của người Việt Nam không chỉ là lý thuyết suông mà đã biến thành:","Khẩu hiệu phong trào","Một hệ thống pháp luật bắt buộc","Sự phản ánh thụ động","Sức mạnh vật chất to lớn để cải tạo xã hội",D,"Đứng trước điều kiện tự nhiên khắc nghiệt (Tồn tại xã hội), người Việt đã hình thành Ý thức xã hội tất yếu: Lòng yêu nước và tinh thần 'Lá lành đùm lá rách'. Sự quyên góp, hỗ trợ nhau trong bão lũ chính là minh chứng rõ nét cho việc Ý thức xã hội biến thành sức mạnh vật chất to lớn để tác động ngược lại, tái thiết Tồn tại xã hội."
